"gene","module","gene_clean","symbol","is_GenAge"
"ENSG00000284650.1","grey60","ENSG00000284650","ENSG00000284650",FALSE
"ENSG00000158458.21","brown","ENSG00000158458","NRG2",FALSE
"ENSG00000237541.4","grey","ENSG00000237541","HLA-DQA2",FALSE
"ENSG00000206422.3","blue","ENSG00000206422","LRRC30",FALSE
"ENSG00000162390.18","blue","ENSG00000162390","ACOT11",FALSE
"ENSG00000154415.8","blue","ENSG00000154415","PPP1R3A",FALSE
"ENSG00000111245.17","yellow","ENSG00000111245","MYL2",FALSE
"ENSG00000101306.11","blue","ENSG00000101306","MYLK2",FALSE
"ENSG00000070601.10","blue","ENSG00000070601","FRMPD1",FALSE
"ENSG00000185745.10","blue","ENSG00000185745","IFIT1",FALSE
"ENSG00000137077.8","turquoise","ENSG00000137077","CCL21",FALSE
"ENSG00000165312.7","blue","ENSG00000165312","OTUD1",FALSE
"ENSG00000124749.17","blue","ENSG00000124749","COL21A1",FALSE
"ENSG00000161671.17","turquoise","ENSG00000161671","EMC10",FALSE
"ENSG00000196139.14","red","ENSG00000196139","AKR1C3",FALSE
"ENSG00000288862.1","blue","ENSG00000288862","ENSG00000288862",FALSE
"ENSG00000116717.13","black","ENSG00000116717","GADD45A",FALSE
"ENSG00000287970.1","blue","ENSG00000287970","ENSG00000287970",FALSE
"ENSG00000238102.3","blue","ENSG00000238102","ENSG00000238102",FALSE
"ENSG00000257017.10","white","ENSG00000257017","HP",FALSE
"ENSG00000120729.10","blue","ENSG00000120729","MYOT",FALSE
"ENSG00000185915.5","yellow","ENSG00000185915","KLHL34",FALSE
"ENSG00000159713.11","blue","ENSG00000159713","TPPP3",FALSE
"ENSG00000143632.15","yellow","ENSG00000143632","ACTA1",FALSE
"ENSG00000160221.18","grey","ENSG00000160221","GATD3A",FALSE
"ENSG00000043039.7","grey","ENSG00000043039","BARX2",FALSE
"ENSG00000150687.12","blue","ENSG00000150687","PRSS23",FALSE
"ENSG00000122852.15","skyblue","ENSG00000122852","SFTPA1",FALSE
"ENSG00000167703.15","brown","ENSG00000167703","SLC43A2",FALSE
"ENSG00000271952.3","orange","ENSG00000271952","LINC01954",FALSE
"ENSG00000166165.14","yellow","ENSG00000166165","CKB",FALSE
"ENSG00000185070.12","blue","ENSG00000185070","FLRT2",FALSE
"ENSG00000170345.10","turquoise","ENSG00000170345","FOS",TRUE
"ENSG00000196878.15","blue","ENSG00000196878","LAMB3",FALSE
