"gene","module","MM","p_MM","GS_AGE","p_GS_AGE","abs_MM","abs_GS_AGE","rank_in_module"
"ENSG00000276564.1","midnightblue",0.671995321389983,1.5028393633952e-108,0.194454944370436,2.06285582084247e-08,0.671995321389983,0.194454944370436,23
"ENSG00000204380.4","midnightblue",0.670366308094978,7.63967058326858e-108,0.212144165568222,8.89477816727093e-10,0.670366308094978,0.212144165568222,24
"ENSG00000261123.1","midnightblue",0.667177741742389,1.78781170808205e-106,0.2596579834346,4.5289743057726e-14,0.667177741742389,0.2596579834346,25
"ENSG00000229598.1","midnightblue",0.663296229414592,7.87689378199532e-105,0.182044689237792,1.58406813964257e-07,0.663296229414592,0.182044689237792,26
"ENSG00000155903.14","midnightblue",0.660343759764891,1.35037277207164e-103,0.240348528986189,3.26111905141394e-12,0.660343759764891,0.240348528986189,27
"ENSG00000255423.1","midnightblue",0.656195989557195,6.92910658364312e-102,0.109330834917168,0.00173887081923753,0.656195989557195,0.109330834917168,28
"ENSG00000235910.2","midnightblue",0.651812576081913,4.15770704622585e-100,0.210912101697035,1.11744474570241e-09,0.651812576081913,0.210912101697035,29
"ENSG00000279434.1","midnightblue",0.647391913864296,2.41242844164027e-98,0.0942694484528789,0.00697449450023575,0.647391913864296,0.0942694484528789,30
"ENSG00000174611.12","blue",0.92129856959509,0,0.238403168262003,4.91832061383638e-12,0.92129856959509,0.238403168262003,1
"ENSG00000186051.7","blue",0.899811041375618,3.46765600978675e-296,0.192338641666072,2.94870382533547e-08,0.899811041375618,0.192338641666072,2
"ENSG00000132953.18","blue",0.896652855364101,5.57226030476166e-291,0.220676859608425,1.76298518659044e-10,0.896652855364101,0.220676859608425,3
"ENSG00000185745.10","blue",0.895711085375458,1.84444002396715e-289,0.146361542635244,2.64227376661349e-05,0.895711085375458,0.146361542635244,4
"ENSG00000288862.1","blue",0.890026983463251,1.38073278726191e-280,0.190980093759315,3.7010445227584e-08,0.890026983463251,0.190980093759315,5
"ENSG00000286452.1","blue",0.889989984202026,1.57131509796524e-280,0.161569553034765,3.40927932362827e-06,0.889989984202026,0.161569553034765,6
"ENSG00000134548.11","blue",0.889426290643247,1.12021070661431e-279,0.132069468913127,0.000151798942860278,0.889426290643247,0.132069468913127,7
"ENSG00000179564.4","blue",0.889361743775868,1.40178901565954e-279,0.173208442899416,6.22749952387911e-07,0.889361743775868,0.173208442899416,8
"ENSG00000100320.23","blue",0.888667959295932,1.54739212704304e-278,0.202874618885716,4.78537847504799e-09,0.888667959295932,0.202874618885716,9
